indice,fecha_extraccion,titulo_puesto,empresa,ubicacion,url_empleo,modalidad,fecha_publicacion,descripcion_breve,nivel_experiencia,beneficios_ofrecidos
3,2025-06-07,Python Developer SSR,SHIFTA,Argentina (En remoto),https://www.linkedin.com/jobs/view/4240469682/?eBP=CwEAAAGXSDgaE8TNTispUJjeAgTdyv6RH7X0cMrHuD8RZjQfM_kSEPLpV-VMlgBqh44nbOCF-o-EsLRXjQOYn780UDqfXuoM8lGQKKtMcZpqmtT6pI2OY658q4FFd6r45qz-3Ni9GUDorNCsOVwzbNnOUJ7CFA011esYntM_GouUA15BZZNxIWk5azavYdhkiDGfpUSjonICuLC6qnlT63DmWMaKg2P1Leg4D1i2FAWxua_F7d9eRxgqWAI1PTHAxzniRUx3RuN56xIJC5bEvx1C044cj76l2o0Ysfp7DsOuuBiG0hFaJCbuDiT9XD1mf_I1UIK5P_9bjpqqCNnH1d4mTljxO_IXHW3-5ntVm4Cf_4xSwksVZicIVlHcTVIaz2HaghECNsDu5jKKQuQjBAqF_StN1JzFT1JRLW_ZWgd46treCyNbn9tFnsjbNwHLdvAoUAdyI-uHe5y-v6QBKMw4sDdSYpWz7EhosP7kYD1ZgYDny3JmLiamQ7qC5eEx5rxs8z3ayxjVnHc&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=rt%2BqcAyI4%2BjMsb4ospU2Zg%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,"Python Developer SSR     We are Shifta!  Somos un Digital Product Studio con el objetivo de innovar, evolucionar y resolver necesidades tecnológicas de negocio. Nuestra Tribu está conformada por +65 S...",No disponible,No disponible
4,2025-06-07,"Artificial Intelligence Engineer, IgniteTech (Remote) - $100,000/year USD",Trilogy,Buenos Aires y alrededores (En remoto),https://www.linkedin.com/jobs/view/4244027051/?eBP=CwEAAAGXSDgaE0BRojveYKzCiHG186wJEuKXi6_dNlae0m1go0iMrq_vEBEI2s2xi9yHIuP56sFcol-rrrKCgCCQIcsYmUuxvDTBlFhDm29FnEIADjtCw9N9Abb7w0T6kDM2NXfpSi74Dt8FTXrhKV6hdk_QhaL3IVaY1-mH0gqKRCGdcblY0mdcChy-ZVEKYHQsza40-QBilKFKRiwp-8JPXZMkbEdGm3WcQYXw-Uf7yOEyqTZ7CvWpmiAePdCtuhBjqeuX4c7QSNZpLuMYq0x530uOc2k5Q5PaFTsb41Ec2-PumpqNjXDFaoITpRLH9eqbkOLQ0ZwFTKxMKu2hjO5D9ffSElqCVcvshibWujkFcERV3YLx0uCwGfCkyRzcPevqAIzB3FbSZawNOtA1OQyDZw8Cgo6i-sSWeKb1hgAYkStksOvfFnNVCLT0vFr4TgC2hAexfl8mCqN48mFdWRMFSg_9Z1ZDoFJQj-2wLDzLdtqXal-7_DWtJiGgBRUgeuTgTR_s32bTb0BMHw&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=U7zxZwSc2V6C0VER1L8TUQ%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,"Are you ready to revolutionize software development with the power of AI? At IgniteTech, we're not just adapting to the future; we're creating it. Join us to lead groundbreaking AI-driven initiatives ...",No disponible,No disponible
5,2025-06-07,Ingeniero de datos,Scanntech Uruguay,Argentina (En remoto),https://www.linkedin.com/jobs/view/4245960468/?eBP=CwEAAAGXSDgaEx01XCj_Pxhqr3kYFKih-Cq_SRJBR4tedBp5mzV67eWnQl6DavFSQc9w_rnPO7YcYNQRa5r7b0qjp5ERTtzlF7oOubfu91c957c5Ju24L3I1YvJfopLABWs0DrFGsRjEgot3kQk18XndE5vpJODMeNOgdR9HgwAPqkajiCcJCWLGilSkNYiDVVHOrVN1duPgbu32a4r4b8ftYgKqkJPhmF-Ctn_attjQ-p-T0ROLV45lyVnVOT5VP81GB1j3PEYddVMOHGHgEyLJJX6NNDSDKp22Au2v1e5YYVLKDuE42JbuQ-BZsMFLHPNGYE-EGwQCAKYHQ_hrz6lHHD68tX-cO0E7wtOOL7bkgdrD2DeOkTMUT3Wz_Lu0TqHXOOwjRwJPUtANFvGHj2nulOWKfRC1xIZ2jDofEk1FSXUe_VC97WOhm4vRJGLciIiluy80zNwU7DhFap6vAGi50KiwlFJgay0Pv1IL8cDwl-Tl9tWbQIuEOmDewcloUL3Skhwl-oPpyJwbUg&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=b%2FptNcLAsmO0jijLgnCxIQ%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,¡En Scanntech nos encontramos en búsqueda de Ingeniero de datos para sumarse al equipo de Big Data!     Nos encontramos en búsqueda de ingenieros de datos con al menos 4 años de experiencia para unirs...,No disponible,No disponible
6,2025-06-07,Machine Learning & AI Engineer,Alabama Solutions,Argentina (En remoto),https://www.linkedin.com/jobs/view/4230949611/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=YfeRlwwT7EmbZBMeE43ecg%3D%3D&trk=flagship3_search_srp_jobs,Remoto,2025-04-20,No disponible,No disponible,No disponible
7,2025-06-07,AI Engineer,CRAFTLabs,Argentina (En remoto),https://www.linkedin.com/jobs/view/4229122142/?eBP=CwEAAAGXSDgaEyYc-pL26AVkwgAoG_mnXe_apGmQtpdSMl8J-r7eP_8NWx2rB0WL5Qxn1twShSf2ihIseD2OR6YjeArVWjW3sMsEL2p_Yi8SXhTPrS_j82uEF3QfZciL1zdUaJb89-t0GE15Pt0VPUOUruUc_ZPLXLt8WkJWnuFPEkPeEllFJ6-4ffH1SD0AuuTJnpPw7fBRyXH94ucRQo1wiQxlUCL-VFEnGDc_TxG4FNQxZyNel5P6VfXV2J7aUzPqhvfq1qtrLFwNwfjOiZHoVfA_D-ILADO3EZnIdwh-2qKn2PT_ovhA5LZazkBMwnssRR88OXcOtwh0_NyqRXkpYlu8WTX25vv7xHxAsaPv4o98WaWAvMu-41FTl59nuO0mLkXNBTqSbjzpAFJBYgAL6WV21AH7Kcfw0ifZy4DdnHkviJ21ikw6mt6HnfvxshZqAdx5wYziMQ1ihxFg0aOkGeTFjM8pbHZDhYCAVwNhhcErgrDJI5-vNUCCr99HHEx-gdBqPDJsuz_GxHqF&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=57JqQayymySKUTGa9AQTBA%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,No disponible,No disponible,No disponible
8,2025-06-07,AI Engineer,Launchpad Technologies Inc.,Argentina (En remoto),https://www.linkedin.com/jobs/view/4234755071/?eBP=CwEAAAGXSDgaE8Av3zUUPlVKQby0wpSpfJfnyUMz64jZq00kyUUeRTQ-f5LZbi0uDl_agt4HjGA7XtiGrZeJfB62Fsa0cHujSQOzn-pI4_K0mtItDt1q8Fr8j-oUUfThtoyeIZzRfF4L8z_1ASBHbY59lWbU_IS9G_4K1CFmfOMsRPMNnYihVvNTO121gvVymeC77CKGq4N1AnJU2Su2WOMcyTk3prpiW_jqU7qsf_ghJ5nkzIGx792N83s1ARhnVcVzlRfky-3mDcc61PHOrSkWmM68X5ikkOH08LrgWZS-u8rYRA5wcQvBwVvIoYvl8_12NrQe7CGVU1V9WiuBAILdzCCtJz7tjUtZg_zpzk_F89-4QoYCaIQzUqAzSaDjiY5lLmpiwPxc5ajCqed2HFU3mg0m25Lo8xgwxIa2WzI-e_bSgo9JmoHfcfc68t-lV2TPAjdEi8pSrXSnm5qKlLx7nAzN_SrQCP1qQoJWh6Za0-_u7cYBWTiiVShDgxNwOhHUUjyPR3wc-hU&refId=hwts1nFXfTv3c%2BEHZdoXjw%3D%3D&trackingId=Th62XUWfQ9MnS5gC4Lafsw%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,No disponible,No disponible,No disponible
1,2025-06-07,Machine Learning Engineer,Bull Market,Buenos Aires y alrededores (Híbrido),https://www.linkedin.com/jobs/view/4242465201/?eBP=CwEAAAGXSDkWOBTDRGLmcV9_Olz_uw8T1r1YADfIsTvGeDSDwBZ-rvqTK_BiPg--2MfP6w2sIv1X-kUjXZuAhJ8naz71NtM2YCiXm2d3WoCrHnanIaAMJbT8ZM3WjXfu9IsGENAqYT7DaykrgdPe3ah5EGWKFnOLJeXGfWhg-bSM2SRVOpr2EibPTtZsjiv22ciKRscELs8VxRqWsbpfwz-mWqXGddsLdRXBut72DClWD17r8Dm9mVRYPTZwceUCSmspa4y-h46I5CSONhuFmna16E9nT5Zoo_zuAzj5PNyDPia8lprXN4YG_bNE6UFt5RJ_pYklRdg5AdkM_2DXJzbsv4VlKNwQrEhtpBmt1acr2CGw5K2KhaNngG4-1pnxtxtPCnuxpjSobVcZWeMGzpMLAqqVdM_EYSgAknN9fE2Z7poHSgKkofT0WEAivzLoS2qGyvCeEfzbMhMYp504RLkccjmlJlL05Zl43H2lyuxVA9aOwlgZAvTQh8N0stAW6UeJd_wu1TN04WyrIKwCwTps0YTH8b2uUq_14NfWTw&refId=oKttUyGh9pprs8vQ7FC7%2BA%3D%3D&trackingId=4kb0%2B78uuXGbJtZaqno4Kg%3D%3D&trk=flagship3_search_srp_jobs,Híbrido,No encontrado,No disponible,No disponible,No disponible
2,2025-06-07,Data Engineer,Cove Brands,Argentina (En remoto),https://www.linkedin.com/jobs/view/4244979497/?eBP=CwEAAAGXSDkWOfYEvtlzyToKVK1FkV3qJNemrykPR2mY86bGijh9S4COCzCPcTL_QbhaEQ0Qt-Hd923q3rLu5IJbDsF9k9diOc7cRJgqU1RYMsMD8cspAbELYhc7l-l8nuNpqClR3AYZEl2XPBeh35IJp0yI6FBosagqjuyzKxCLLbQHnGdMTMWFefiq79ck1FOcS9vks7hF_l4vmsTR7-aULk7IF1Qjy4fhp6RHPzrYVOvvaWweTiJJaf0DJQrHNGvlPiOhu0zPsB09YhDUpntBbLCsMn723Dw9QcIYeO3CeOJYazOZPgGFWIidY7ulb96088O-TfNIHjprcPYSxurdExEi7Zr4KLKes98j7tkVcWtuCyUmm7KXzbWV75cT3769YWECubGffKyCSTbHVebjjo06GMTTbtwU2pCMrstzSs8GT2UQ3ZjMMEOwWqDqt3Ed95vpQdxFQUUI6Jk_z02ums6bGXCkf8hP&refId=oKttUyGh9pprs8vQ7FC7%2BA%3D%3D&trackingId=%2Fk4S%2FW%2BGspmy%2BQZX71ThcQ%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,No disponible,No disponible,No disponible
3,2025-06-07,Desarrollador Backend,Worldsys,Buenos Aires y alrededores (En remoto),https://www.linkedin.com/jobs/view/4241273275/?eBP=CwEAAAGXSDkWObbQFTSryCs0iLtukgfD33-0C0b7LgDZV5xKwy487iI3zgSzND6y-NzQKj7w8qohfZCL_AcAim0GdrlbUHORysuD-dmvpuCpkLgWLcpjG95seEl3oOOVzdbCV_Pl_ifSA4cidHg9qpcZush2k4Ii72dzE_UC51MKlO4qepi3-b_ShADOiwPZYRUGFm8m9BrMi2XHjwT_dEqjrWBJpnW5Q9tf1KH_4swQk-KNvOsGquDqCMRvOgrXyc-8PYL9QHXCOpsNr3o-qWLJozOjmZU4ja5pvSXRnWWBtoTtmO2T2qCxelCxu7nWI0qz-l1Cqupd-FB22ttqumv4kPOVYVwp15jtFv5eqkwtKaZGGwjNW8e0AivWu0Aypn0yEuRJrcerGGK-7zQ0R97E_sGf3aNOtmvuymhLE71m0CK7ilI64OWPJOgYS081HyaXzE6yYvdM4zHzIvUJKJCfbw&refId=oKttUyGh9pprs8vQ7FC7%2BA%3D%3D&trackingId=hEGHi%2BDBdKXkQSen4YdCNQ%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,No disponible,No disponible,No disponible
4,2025-06-07,Desarrollador Python,Scanntech Uruguay,América Latina (En remoto),https://www.linkedin.com/jobs/view/4244586788/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oKttUyGh9pprs8vQ7FC7%2BA%3D%3D&trackingId=W2KDIs1lyWABgyMvaoj7vw%3D%3D&trk=flagship3_search_srp_jobs,Remoto,2025-06-04,No disponible,No disponible,No disponible
5,2025-06-07,Python Developer,Mercor,América Latina (En remoto),https://www.linkedin.com/jobs/view/4244509165/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oKttUyGh9pprs8vQ7FC7%2BA%3D%3D&trackingId=go95aGAwpYPDyDO%2BqVX6hA%3D%3D&trk=flagship3_search_srp_jobs,Remoto,2025-06-04,No disponible,No disponible,No disponible
6,2025-06-07,Python Developer SSR,SHIFTA,Argentina (En remoto),https://www.linkedin.com/jobs/view/4240469682/?eBP=CwEAAAGXSDkWObuYlMOoFOvNh_T5IhnDJgXlbYbhKoSUWspRFgU1xkdAifW_RohEzmARUeunajSugaf4ud1C4VEVYxUBC65cPFAwxVrNwiq03_ixiO7S5rMFEKO8onVRJM8f23qO0NYiW3cskbFyvVtsmf10kiIgWOw4ulwQRnJ7fguHasA4y5WLGgJz41rYvGMZyOXUb4KzasSUB_5_riCZ2Ah25V3NfeGg1gCpRuAgcpZ5QrrACtYXjvbtLk7UIB3jv7gmN1xm9AnKCilZyxgxUp2uDG7lHEyE2t75yA68dDYk9s8nG1GdipyduQq0Yq7JD6ozVvFAWk6LoFOn4xC_CNDptzAXmwuVkWJE-v1wd1jWxPFIbWoU61xalVUV4hBajvapO36bClBYQ44I8cWjMDzLiMtYVW_DQVHF_QirMYcIMuQc7F5mNgZMXwXTtu5BXTT-7TnW8OwUnWN0Uah1jD8s0xFDLQSwmiYb5zANj2u9tP-KltZdT_AFnjlAyPzScYYpFU3FK3w&refId=oKttUyGh9pprs8vQ7FC7%2BA%3D%3D&trackingId=C4KIrPYn5g5XJ1ak726Yfw%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,No disponible,No disponible,No disponible
7,2025-06-07,AI Engineer,CRAFTLabs,Argentina (En remoto),https://www.linkedin.com/jobs/view/4229122142/?eBP=CwEAAAGXSDkWOUo75f7ZdTXpI4qvx5g-6NAY7PiN9GnD0unibsy6V4w2PRbbVAY9H8utkUMirAC12LOYv830cBpvI4f4EsvTDqDm70TMBY2CK8X2Vw6qHnHLJLxwzTKhb2jqyOUV_JU9rBNfaRFQPtAJ0CfC5JjhPF9_8J1kvpoPnbl5dJTTfc1saql4dczn8UOH__5vt8husBfgZfFSK6ecqdJThvX0LvkqdNfmh3M10nsMs_70izeLj5nVvCyF-zJm0N4qeku28pHgqghtMbPKO1NQlzD55MCDZl69pugYeqqK-8DdvygkyhI5R1amptU5Rsq2YA8lTw-1f0mf1JthG7LaThg1GWOfDmdg46Zn7GMhg81tZDE5PJAiWUwGuIu9z3Jy1cLXFpuSMntVCbgLHs_hG21nekEAFHopWjLeSkWfBBDvomD4ZaFff2XPV68VZUjj2fN7kYzXxwYc1GzVahBZ_Dusgs9bJ-yyxi4E5Dkz7oKXHuxONL_QdQ-rP8IwRSRghkbKa4sj2g&refId=oKttUyGh9pprs8vQ7FC7%2BA%3D%3D&trackingId=oq9iytkxD2OedJY4rVD9VA%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,No disponible,No disponible,No disponible
8,2025-06-07,Machine Learning & AI Engineer,Alabama Solutions,Argentina (En remoto),https://www.linkedin.com/jobs/view/4230949611/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=oKttUyGh9pprs8vQ7FC7%2BA%3D%3D&trackingId=LZSsaa1uI9fezJHT3uIamw%3D%3D&trk=flagship3_search_srp_jobs,Remoto,2025-04-20,No disponible,No disponible,No disponible
1,2025-06-07,Digital Project Manager,Jumpfactor Marketing,Argentina (En remoto),https://www.linkedin.com/jobs/view/4242925903/?eBP=CwEAAAGXSDoNRdNCAJdErt5Jd_lzD_a7cz14QebUnSvHim3Cb0a1CaP4nwbZmsfV_NFobS5FuHt7wuZ6xge3Iuzj4VWO3uToscy0OkCJIlk2uubJ9l9nAcBYHxte5ac7xHpe_Rd2_A6v6V3fLSWkxGbLFJYtRegnfSLrxumVUP45nNTRP2yENXhTQvO0iDfojPe6AxbYwuXajDQ7e85cHYwlKxxoroAi1fGFarE1P8Nxpz1Y28HZCffhb49ArpfIDF0lJDyxhcpaPGWpDXeN-2QOMJGf3dA7YR6NGUoNqnMIiYvDJ3yV3vYwDMtPEgQ1dxBl7m0npsiOljxCjxpY2fxO_wZlLEVzw7yzeH2xjvjoG1-AOhNyr4xpJSNKf2Zp2FCQXP1YNXkSsOVgrU1yo2pR7OsfiXZ2fIv07IrWA8QXMoYLNQnzPfjONYkjF6IzN_ya_SpilalhChaX6ijlCoTl4RE67iHihlPFhvhajfTzuBOJzbsztg-E7i8v&refId=LpUAIaUnJxG5oSh%2BjIvWgA%3D%3D&trackingId=uCALjoS8fc5V8lbHcKQXew%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,No disponible,No disponible,No disponible
2,2025-06-07,Director de proyectos de TI,Confidential Careers,Argentina (En remoto),https://www.linkedin.com/jobs/view/4242425952/?eBP=CwEAAAGXSDoNRYA0C3S7ilRlnCfIH6v5EVqNXuSaKgqWTIq0lh72EwrlwaYmBQ6JLrbtN0CAGimmNrDsnmlBb4iZmxBu_oPQ0PVrhUs6zYxn0ra4le7POnvN9R61hyE-fvozP38Lowwcm8tDfjDZ4XaigU6TqjCvCBJqngSR2G6XdOfX88zsGLC4XFZ8J08wa9x3pDuRhjVq8aYHHkZxMWmh8u7q6Wj-sd-WSkW0NP-t8cYBKoMPlfvQsZy74O8a3Vz8OhZB2yzrVZCFEZzx_u8WCmtDTo180P13W0lxi_EuFz8oy4pTdHO5vFc4JCO6r_9PO4GAky9fywfWUHklzn8H98oLj7VzzPo10RT9CY0XjnqQht29e9rjN8gKV2-QtBT-fiMjOkCqTHw3F9scVCbO9wfR-JPdplXiKjKn2SJI6rBpi8qmpX3DOZXZ4SBRyxhsXZh1bKo0jpt5PDCNPFUbv_3jdWZd-Ik5OPRODW_vIDC0I-1nxhupI_xYZwunz5T5fqs0wUmx&refId=LpUAIaUnJxG5oSh%2BjIvWgA%3D%3D&trackingId=PlqFzekFZ4i4e9Bzun2knw%3D%3D&trk=flagship3_search_srp_jobs,Remoto,No encontrado,No disponible,No disponible,No disponible
3,2025-06-07,Ingeniero de proyecto,Promocionado,ManpowerGroup Argentina,https://www.linkedin.com/jobs/view/4243849243/?eBP=CwEAAAGXSDoNRfm4ZakTE0nUFJAcE5G0HeJYxHdpfHFj-DkbM5X3ShPE9ICAReWKeawhCqjjeCkqG-lmTjBMqCP9lrkXfoQXaG6bTs2YYZ5vA6izKf3Kf58JaSBxw-TRx5R6y7q2jG0408AozYevNuvgk03wQX-dM4jAuoj1cqv1Tf86xReARNKZpzSb_BENx7CuH_s3qmT3iHt-ZYnCO8iwpcxqwdDTDHAfu68Z7ILSbDWhJBYGcWiSJ8bQGq_LsHJbt494Wk1uwfuav3uID8WUhnE671muZa-EuSn6ioGe_b-OL6f9bc9zu9mKzB-HElH_pGNOT3SLXHBOisHCb_FKdAMelegHHBiMLUlj3knnQvjSmCBQjgl0ZE2T_-NQTVSpqr3QAeu3eHD4WTKk6eWjZ3SiOJZs0XtmidulaTT5zU68TsM_bRp74F1AQUO6VeDzHZGETqwHgrt3NOEf1wLKNIDdD5SHnH36Dzag7stbrxv7zP9xbvXHVH__dosZsBMgA7SSKFoVVy0&refId=LpUAIaUnJxG5oSh%2BjIvWgA%3D%3D&trackingId=jk1NS%2BB3V5oepJX8G%2ByY8w%3D%3D&trk=flagship3_search_srp_jobs,No encontrado,No encontrado,No disponible,No disponible,No disponible
4,2025-06-07,Manager - Business System Analyst,Promocionado,PwC Argentina,https://www.linkedin.com/jobs/view/4218918936/?eBP=CwEAAAGXSDoNRcVwQtf_ZKjdvTP30CJrcbDZ4nHcH1z-xiDlPaO49XIY8cbNmMS2Y7nUqmc1G8aV0vumgJ9VoZFA4ztD_2piMTVyPR6En5MA-Pwa6H0PGYdsqoGnC6gvu2LbskErCp8O7-cgGJtcAbAkD0GBjHXsz198p_VTiebDpUyeTR5pUb6JovjeRNLt4n0euP32FOjx0pPWbMPDIs4x4peFURTXMEC6a3hegBDHIgwcErTFYzZqwWACdOCHpN3JJm0D86DlDcdvRwTd28ZpyoYrweeYyYzFBLWtFw_ry4s_ZXO4dvmfKEV9dHkMQAJzMSviKKQ46WvWQpeJbOK2BKZiAvHN8tPbHT1bUUS0A_eJSQobUbpieL4V4oIS6u0spQ3v_URLcACEmk7nkg_Zy_YzHUvbkE_LoPuGc_iflmTxtanvP-NeBuBwDxm1GgPXgrzOJKSwPXL8Lix_Vo7wX_Tjo5WbYFLHNLVwVJYECZEnXYTie86sftLBmpbkswveK7_Lng&refId=LpUAIaUnJxG5oSh%2BjIvWgA%3D%3D&trackingId=Toggh9wn7SxfXs7z%2Bc%2FvuQ%3D%3D&trk=flagship3_search_srp_jobs,No encontrado,No encontrado,No disponible,No disponible,No disponible
5,2025-06-07,Junior Project Manager,Virtustant,América Latina (En remoto),https://www.linkedin.com/jobs/view/4242763977/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=LpUAIaUnJxG5oSh%2BjIvWgA%3D%3D&trackingId=OcEwW1lGHKwzBIXfzIzlvg%3D%3D&trk=flagship3_search_srp_jobs,Remoto,2025-06-06,No disponible,No disponible,No disponible
6,2025-06-07,IT Global PMO Procurement Specialist,CEVA Logistics,Buenos Aires y alrededores (Presencial),https://www.linkedin.com/jobs/view/4233732395/?eBP=CwEAAAGXSDoNRZLjJSQ5CbnNh53ApgdtRphjYgM-5ABHk8yuFNfcYJCdv9u6ldfvCARlLhtie0BipxsBzE_nQ3Q-krimNDPYIBwMxGPEb3v7AmQYCJHSNH3clSe4pZEDHFuZcN72sPFqbxmwpXA3vgnCVAwuSGnCRJTf6KW57l6n9TRfaYS-_7qXuYtf4N4iq0vUe8sYX1W-jmbB2WRGxSqGLrSYVOJ1e_o4cNNFqt34jkbvrjLV9ynY_pvOp9PjgoEOOSv0ATtshOkFSTWIIlVj4W3TuMor5yUDTD2OicKBFvix-2h5G_0wBRwvu0hps6N_tcN8rYCekc8EUh_zstYowb9G_aPnoLNuGdokOudgLASoqBu8TyI3gp7AKFyCUeou8xtS6vygDHcUAnSOdFl11zkOC1rByclUtuiV9NKUZW3zl958h9BhWzuv12CN9VDX-sHRGPw8VqIgwxweKSL2OcH59O1eawyIRbDz35vAf_0JmZaZ7QaOdcXOy9dmhvU0hythiyLJ&refId=LpUAIaUnJxG5oSh%2BjIvWgA%3D%3D&trackingId=bgQyamVN5JFo9VaiLiwIyA%3D%3D&trk=flagship3_search_srp_jobs,Presencial,No encontrado,No disponible,No disponible,No disponible
7,2025-06-07,Project Manager,BM Digital,Argentina (En remoto),https://www.linkedin.com/jobs/view/4243666471/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=LpUAIaUnJxG5oSh%2BjIvWgA%3D%3D&trackingId=qYqAHU%2Bxd%2Bd6vqlBxA7cVQ%3D%3D&trk=flagship3_search_srp_jobs,Remoto,2025-06-06,No disponible,No disponible,No disponible
8,2025-06-07,Project Manager - Scrum Master,ZS,"Buenos Aires, Provincia de Buenos Aires, Argentina",https://www.linkedin.com/jobs/view/4201272319/?eBP=CwEAAAGXSDoNRaFvN8nXdhOzJHIrTZP-hFaU98M72gKdJhQWZ-4Q78aQOVFUpiaiY4MlYYK1HA72foresRlByazvvhtB1sljOQChgg9AppSmydWd0ukR8N4yDORv2igA-qM3bBFRvoiaJ8d9mZAd78bVOcM7KqieNdjAZunsvYpPX0MmMqmqIWlT97983wIb_rA3XyXkw2xDHGdrdZ47_kdKxojcuvHo0fBtGf5MSyqPb5A8w8qVjIMO4hvoua_J8TA0rHNNl5RynXCQBkOE__QRCUemXEPlRk4HkctvgsCg9v3wiON7C6mpVewrrffLrtad8JCOYn4kiSm7Ao_qg9E9PesrE_oOznvWnYY2umtSXiXIdBA0Wi8cPLKslRzel0Kl6eek8ugOej-aXInOKvEYSAthTFnRmbMl-IE3KuHiI0joJ6luQcgcDZIBoh7Jjm3-k1V3kMyNnlV3fy79EG37rIi55wJ2uSp0wdE1RcVG7W8hSRICbET4F012Ptb-nwhEr8izZ4JaxkNb7A&refId=LpUAIaUnJxG5oSh%2BjIvWgA%3D%3D&trackingId=ZXdmfOLhiXdNmssc8G77kA%3D%3D&trk=flagship3_search_srp_jobs,No encontrado,No encontrado,No disponible,No disponible,No disponible
