producto,precio,vendedor,ubicacion,reputacion_vendedor,fecha_extraccion,url_producto,disponible,envio_gratis,categoria
Notebook Lenovo Slim 3 Core I5-12450h Fhd 16gb 512gb Win11,$1.183.595,Por PC CENTER COMPUTERS,No disponible,No disponible,2025-06-07,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=q6O5TMysF7tc2q3B6trt%2FrG2Bb4TsciRbdLKd%2F45CwZRwkdlS%2FQDXC%2BDbqvJNKkozdHT%2BegLUs3rgKVpTeGr7%2FLe6wZS3bY%2Fbeo2UTUTwkr%2Fg%2BgWxe5LAzJfZ1%2Fus0B%2FRRjggBxY5Q3DPxuHvpTfu7rrHev52jWzAuu3dTQuS23oWuCb%2BXbKYOAtdsPCforaizl5NJxYo2N5v2wy93AkRAuO2pSEPK%2B13TOWybLwDeEgjKoKabcxSUXmcHEDqv8R3jHUn%2B416rRuTkJGN9ntdVGGQpxJ0hy1HvhOe65r%2FPwH4chFjjPmYpPmBoPIxQGB9OCRVV5elR71ihhx4lRwgeqhGcvjNLMneXr6KAj%2FffgLQy2JTbn5gekl1RQ05DU6ub1j49nF5NaAHDuF4UuTqIxAFspmoSZ41vTW%2FyAv6ej1USWmGV9M2X5Gev9XNAJBpe3b6CStl8y4vp%2FE6fNZmyaA%2BhsrmSWppql6XLX6fGfgQdrozeMPEYWjzcegAAyPgXGN7ycu1JSvA6GMlppGCQjzw0RMFR5NMCIP34sLd8HbbDlsiEdVPd4A7ar4m64DwCn7SedwwSc5lUHF5lhN81p6FA4TwpogU4ZvB7X%2BwWHMkIAQxCAFqNC9mMzGqfTgou%2BSWRZtdd8xcgUCK%2BZo%2BdMV8mUJfyN8fkG3bwflw%2FRB3TvREVX5QgQcbhZ7sOSLNrGlNJJr6ywKxxOuWRxCln7jtI275YDywKgUWephCFZI5Zx12TmmGLyw4OvkLMptgpAuqng3MT7uiUXb2vvgwTe0BwnIQ1tNK9wxn3x3HRuQM9xEOQP%2F7rEZlTVpIbEWBvuurhE9yBvlqpUMbHzzpfr9ZgrbhAfGYH6EousFgaOqI%2FuekPjfpir1lSM%3D&searchVariation=187418459607&highlight=false&headerTopBrand=true#polycard_client=search-nordic&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095,Sí,Sí,notebook
Notebook Hp 255 G10 Amd Ryzen 7 7730u 32gb Ram 1tb Ssd W11,$1.528.295,Por PC CENTER COMPUTERS,No disponible,No disponible,2025-06-07,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2FsRmEMcUvzzEmo82taC8DVBqM1wLdODEwFSK%2Fnot8uB5xlJjG3pOCwfyLHOrtF9vwLic7CjD%2BgxNJ2tc2T4Jhow5xexPLB8bYPp7pKojoog9iQ%2FmhctDgtkDojc%2Fp%2FyqysBQmNLWCaJEXrVMEa3dV%2BtAIMBmwVv69MYdPH5JbsdaeST9%2FioYk4YWYihNLI4JggwZNADKkgk2%2FScuO6ci%2BTp6GOG1GOCmMnZeulAHKMgQF72N75FUf4tYoyvVZAhLBmAwK38sNPYLSa407r0KEUpRvzijQDHXgCSlWBOkS2gkCXgbXCADWFR8OToEkRqqREFKVhgYMqHRL3WO%2Fp%2FzlQ8qFpm5xR24J1YMtxCa2vQRP1wuBJcfaAVNC2DaOOcX3jKFwD3dam4mJjpr4oLzU2gq4FhURIUJKp6VBnumG2WhMgOuRd%2FInnzZszjFBmH1hshvUe5X65lZPWW7lclnLPyJDWBLtYV59gVirkQTcvOj0rcKUron8MTFJFADo80UCjU%2F%2B3V2iNQ5ohu542rpQRG7B%2FMO%2B8sar9wVM5YagcpO151auoRQVYXt1%2Bxbg%2BgWh8lSZwmsCrSxZSk9lLXV5TiD%2F6pu4KrcjXb7f%2BOppV%2BB6hrJTwf4kyhlS0Zpo7xL98RxrB9ZO%2BuAptb0Vo304PNzZZbVQr595wNU7T%2FcE1XTZZlZOqtbbzarKXZpeU1V1aPPj4tHNrI7DCVSpNaM54hy8OjmPiZ8Y6ahHQlUUIOcnwUeW46aZEotpU%2BHwyMizT3vLsioNwqs2lk%2BB9HUL1wD4mJQvb8xUuwSw7G1e5lbdFXk2XLtqNSM19fqbIynPJDEXBv3GayCx4HAGmuvxF5wWxamXTENmfIUNbo8Rcrydavih2sqZzqp6jxq&searchVariation=182939263246&highlight=false&headerTopBrand=true#polycard_client=search-nordic&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095,Sí,Sí,notebook
"Notebook Aspire Go Intel i3 N305, DDR5 8Gb Ram, 128Gb SSD, Pantalla 15.6"" Full HD, Windows 11 (AG15-31P-3947)",$1.051.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-aspire-go-intel-i3-n305-ddr5-8gb-ram-128gb-ssd-pantalla-156-full-hd-windows-11-ag15-31p-3947/p/MLA39392605?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA39392605&wid=MLA1455835875&position=11&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Acer Aspire Lite Al15-41 Amd Ryzen 7 5700u 16gb Ram 512gb Ssd Graficos Integrados Radeon 15.6'' 1920x1080px 60hz Teclado Ingles Windows 11 Home Color Plateado,$1.348.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-acer-aspire-lite-al15-41-amd-ryzen-7-5700u-16gb-ram-512gb-ssd-graficos-integrados-radeon-156-1920x1080px-60hz-teclado-ingles-windows-11-home-color-plateado/p/MLA46160123?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA46160123&wid=MLA2017441748&position=14&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
"Notebook Lenovo Ideapad 1 15IAU7 Pantalla Táctil Fhd De 15,6 Pulgadas Core I3-1215u 8 Gb De Ram Ssd De 256 Gb Gris Nube",$929.999,Por PCREGISTRADA,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-15iau7-pantalla-tactil-fhd-de-156-pulgadas-core-i3-1215u-8-gb-de-ram-ssd-de-256-gb-gris-nube/p/MLA37834136?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA37834136&wid=MLA2018208670&position=17&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Exo Smart T38 Intel N4020 4gb Ssd128gb Windows 11 Color Gris,$553.845,Por EXO,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-exo-smart-t38-intel-n4020-4gb-ssd128gb-windows-11-color-gris/p/MLA22826188?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA22826188&wid=MLA1424712885&position=21&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
"Notebook Samsung Galaxy Np750 Book3 15.6, Intel I7, 16gb 512gb 10 nucleos",$2.169.999,Por Mercado Libre,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-samsung-galaxy-np750-book3-156-intel-i7-16gb-512gb-10-nucleos/p/MLA24848182?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA24848182&wid=MLA1663063080&position=6&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Noblex N14x1010 14.1 Hd Intel Celeron 4gb/128gb Ssd,$470.899,Por PC CENTER COMPUTERS,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-noblex-n14x1010-141-hd-intel-celeron-4gb128gb-ssd/p/MLA37505961?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA37505961&wid=MLA1468477267&position=5&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Lenovo Ideapad 1 15ijl7 Intel Celeron N4500 12 Gb Ddr4-sdram 128 Gb Emmc 39.6 Cm (15.6 ) 1366x768px Wi-fi 5 (802.11ac) Teclado Español Windows 11 Home Color Abyss Blue,$1.264.499,Por ESPACIO ELECTRONICA,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-12-gb-ddr4-sdram-128-gb-emmc-396-cm-156-1366x768px-wi-fi-5-80211ac-teclado-espanol-windows-11-home-color-abyss-blue/p/MLA41391097?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA41391097&wid=MLA1499749245&position=8&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Asus Vivobook X1404za Intel Core I3 1215u 24gb De Ram 1tb Ssd 1920 X 1080 Px Full Hd Windows 11 Home,$1.225.890,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-asus-vivobook-x1404za-intel-core-i3-1215u-24gb-de-ram-1tb-ssd-1920-x-1080-px-full-hd-windows-11-home/p/MLA42693825?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA42693825&wid=MLA1460925105&position=10&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
"Notebook Hp Amd Ryzen 5 7520u, 8gb Ram DDR5, 512gb Ssd, Pantalla 15.6"" Full HD, Windows 11, Color Silver",$1.057.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-hp-amd-ryzen-5-7520u-8gb-ram-ddr5-512gb-ssd-pantalla-156-full-hd-windows-11-color-silver/p/MLA46910915?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA46910915&wid=MLA2027768126&position=12&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Dell Inspiron 3535 Amd Ryzen 3 7320u 8 Gb Lpddr5-sdram 512 Gb Ssd 39.6 Cm (15.6 ) Full Hd Ips 120hz Amd Radeon Graphics 610m Wi-fi 5 (802.11ac) Windows 11 Home Teclado Español Black,$1.499.999,Por Atajo,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-dell-inspiron-3535-amd-ryzen-3-7320u-8-gb-lpddr5-sdram-512-gb-ssd-396-cm-156-full-hd-ips-120hz-amd-radeon-graphics-610m-wi-fi-5-80211ac-windows-11-home-teclado-espanol-black/p/MLA48939378?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA48939378&wid=MLA2079922090&position=15&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
"Apple MacBook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Gris espacial",$868.210,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-gris-espacial/p/MLA17828518?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA17828518&wid=MLA1496970789&position=3&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Netbook Exolite L1 Intel Celeron N4020 8gb Ssd 480gb Linux Color Negro,$449.999,Por EXO,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/netbook-exolite-l1-intel-celeron-n4020-8gb-ssd-480gb-linux-color-negro/p/MLA42615655?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA42615655&wid=MLA1956594850&position=7&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Lenovo Celeron N4020 4gb 128gb 14'' Win 11 Blue,$509.999,Por PCREGISTRADA,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-lenovo-celeron-n4020-4gb-128gb-14-win-11-blue/p/MLA42646225?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA42646225&wid=MLA2018195560&position=9&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Asus Vivobook 14 Intel Core I3 1215u 16gb De Ram 512gb Ssd Full Hd Windows 11 Home,$1.362.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-asus-vivobook-14-intel-core-i3-1215u-16gb-de-ram-512gb-ssd-full-hd-windows-11-home/p/MLA40553594?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA40553594&wid=MLA1457695649&position=13&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Notebook Nsx Intel Celeron N5100 8gb Ram 256gb Ssd 14.1 W11 Color Negro,$452.165,Por Htvs,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-nsx-intel-celeron-n5100-8gb-ram-256gb-ssd-141-w11-color-negro/p/MLA40153477?highlight=false&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA40153477&wid=MLA1909586374&position=16&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
"Apple MacBook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Plata",$841.823,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-plata/p/MLA17828520?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA17828520&wid=MLA1496840399&position=19&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
"Notebook Lenovo Ideapad Slim 3 15,6 Ryzen 3 8gb ram 256gb Ssd Windows 11 Home Color Azul",$1.391.999,Por ESPACIO ELECTRONICA,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-slim-3-156-ryzen-3-8gb-ram-256gb-ssd-windows-11-home-color-azul/p/MLA37826538?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA37826538&wid=MLA2004285974&position=20&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
"Notebook Asus Vivobook 15.6 Intel Core I3, 8gb De Ram, 128gb Ssd, Pantalla 15.6 Full Hd, Windows 11, Color Negro",$610.999,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/notebook-asus-vivobook-156-intel-core-i3-8gb-de-ram-128gb-ssd-pantalla-156-full-hd-windows-11-color-negro/p/MLA47407544?highlight=true&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA47407544&wid=MLA1503654311&position=23&search_layout=stack&type=product&tracking_id=ea591172-3182-4c9f-ad6d-e76e3e4eb095&sid=search,Sí,Sí,notebook
Celular Zte Blade A54 128gb 4gb Ram Gris,$229.999,Por Mercado Libre,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/celular-zte-blade-a54-128gb-4gb-ram-gris/p/MLA29233009?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA29233009&wid=MLA1435995119&position=2&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Samsung Galaxy A06 128gb 4gb Black,$274.999,Por Samsung,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/samsung-galaxy-a06-128gb-4gb-black/p/MLA41999134?highlight=true&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA41999134&wid=MLA1940247228&position=4&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Samsung Galaxy A26 Mint,$699.999,Por Samsung,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/samsung-galaxy-a26-mint/p/MLA50308347?highlight=false&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MLA50308347&wid=MLA2091074606&position=8&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
Smartphone Motorola Moto G55 5g 256gb 8gb 6.5 Negro,$381.103,No disponible,No disponible,No disponible,2025-06-07,https://www.mercadolibre.com.ar/smartphone-motorola-moto-g55-5g-256gb-8gb-65-negro/p/MLA42830499?highlight=false&headerTopBrand=false#polycard_client=search-nordic&searchVariation=MLA42830499&wid=MLA1501256059&position=11&search_layout=stack&type=product&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&sid=search,Sí,Sí,smartphone
"Tcl 501 Pantalla Grande De 6,0 64 Gb Liberado Glacial Blue",$199.999,Por ProntoTec,No disponible,No disponible,2025-06-07,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=LHpS7qqVjJIpHx%2FIxJ%2BxIjCLS%2BwthS7U%2B1tXgFxEb1pzxnfYSxGmP%2Fsm0jHQov%2B3yzGQAb9suGSGzGC7Wt%2FkPxRODoj%2Ba6f87RZ0RP4CySzYPpF%2ByS034g18ItzdNbhYqKpbJ%2FJSW%2BITpBQ%2Fo04Z7Oro9FLDs2O%2BcuKf6dhTfgcRdA533U3%2FIziuYK8BipaP4hHLyu81d9I0tIAcpKA7r6BvxRXS0Q5EBMzmi6BHrK%2BK4nXGeOhNqXjH9pNbIw9QqnBiwmt53obGcZca4aiLjuAKvIYhsqRniqXcRn%2B4HWNGbRcS%2B9USHPiNIamXkZMBH2jXPGWFem%2Bz2okT1imf3pukl1RVif9%2BGkR8%2F7oJjgt3Q3sof25pqrlbxfy3bn5VBConJhKCbK9HpryTU1v%2F78g%2BgWqVBmMlX2L3DfrFeGWyrOhYiN8Tacqio1SiCPaAsAeFuDfwcdOzRIuM%2B7wlKrVV2q%2FlchLpSWIL1mhUECkTrHJdoDh%2BggB2enN0i65QRDmDYd5TaCuW3LWaIJJ6CtVoufa0%2BpysjX58bUG0dJMJWOlopnrijpGJGFJGwvDJuJ7yk%2BetqSVj9AfTj3kYNsRWVpcCo%2FCXmeS37K8d1BzXLTpw2OkssVyRZYj%2BzIA3ADAqrcaWpHab8o%2F4LuSkVvI1Eo7yhIlGc%2FjjS27UZYPQpt8LgWICaR0B5Qw4zvTeAhBNwgdyFivhB8C5zbaEudMVSG8XduRRBuFGytuYlYxOQx8A3T6KL9SgEtXldKeEV62rFi1W5wHPqyaNa%2FrSZRmOU88KcffwHuqSMQdcRx%2BMk5mfWqVkcKjQOmRXw8G2jAso%2B02quBRmdDHlM2tKu%2FpOUHdAgbvvRJQ4E0OGJP46%2BUHWpxSxrI5lQoZdHinjDsyuO1XJpwU5udlL1r%2Blmf8uYP8EtOrpF1qOFNytfGGC4%2FnhXAaI2VTY3aZJtcir6eUTOn5fRQAq9JZ2FicFRmRCXSPw69M%2FW0kgAp1fhWoNk6GhmvMcKfQOGLvpgyfq3dyaowTnlOvnOg%3D%3D&highlight=false&headerTopBrand=true#polycard_client=search-nordic&tracking_id=8c3cff31-f351-4e90-9984-8995ea273f51&wid=MLA1998328572&sid=search,Sí,Sí,smartphone
